Soil,Temperature,Humidity,ph,Rainfall,Crops,Ca,Mg,K,S,N,Lime,C,P,Moisture,Location
Laterite,25.80495055,55.00985779,4.789734437,220.2481622,Tea,1.128,5.481,34.57,4,180.88,5.32,0.48,20,0.6,Mangalore
Laterite,26.66413203,61.00949554,4.524595296,195.2644515,Tea,1.154,7.692,58.84,3,191.52,5.19,0.51,33,0.5,Mangalore
Laterite,26.1454261,63.23452521,4.669570248,235.3354816,Tea,1.564,8.75,59.94,2,202.16,5.14,0.47,29,0.9,Mangalore
Laterite,24.16451828,56.79991063,4.921436311,235.9374819,Tea,1.154,7.067,52.63,2,234.08,5.25,0.57,33,0.5,Mangalore
Laterite,21.65594823,61.76715279,4.655763696,241.5411477,Tea,1.077,4.952,42.57,2,212.8,5.02,0.48,15,0.7,Mangalore
Laterite,22.35753322,56.8091977,4.735721002,151.5420229,Tea,1.103,4.808,45.41,2,159.6,4.9,1.85,30,0.6,Mangalore
Laterite,21.96202221,62.1370184,4.859898552,247.9849425,Tea,0.949,5.433,49.43,3,297.92,5.08,1.24,30,0.7,Mangalore
Laterite,21.10407321,57.50157537,4.971982923,243.6025436,Tea,0.795,5.577,46.5,2,212.8,5.22,1.71,40,0.5,Mangalore
Laterite,27.44758956,63.69135557,4.658126343,218.3234174,Tea,1.154,4.904,42.2,2,159.6,5.01,1.96,23,0.9,Mangalore
Laterite,21.68623299,55.48736922,4.5025967,156.5019951,Tea,1.487,6.538,46.51,2,159.6,4.97,1.85,17,0.5,Mangalore
Laterite,23.37388862,56.70918388,4.97103203,210.8450939,Tea,1.128,5.288,49.7,2,180.88,5.18,1.9,26,0.7,Mangalore
Laterite,21.97467801,55.14035851,4.636239117,155.5288113,Tea,0.949,4.519,51.79,5,212.8,4.95,1.8,46,0.5,Mangalore
Laterite,22.96228267,56.04805635,4.918981763,156.1374967,Tea,1.154,5.433,43.91,2,191.52,5.2,1.75,24,0.9,Mangalore
Laterite,23.26790447,59.02050697,4.510646819,187.2409307,Tea,1.128,4.808,54.28,3,159.6,5.06,2.02,23,0.8,Mangalore
Laterite,22.24106122,62.85507946,4.553135524,244.6364888,Tea,0.949,5.192,50.33,2,212.8,5.09,0.76,15,0.8,Mangalore
Laterite,22.63639552,58.32292132,4.512978813,209.8447099,Tea,0.923,4.856,51.83,2,170.24,5.25,1.82,20,0.5,Mangalore
Laterite,22.43163359,60.43807179,4.588707438,193.10972,Tea,1.103,6.154,49.67,13,212.8,5.17,1.77,20,0.9,Mangalore
Laterite,26.33377983,57.36469955,7.261313694,191.6549412,Coffee,11.72,16.49,501.11,20,282.42,5.92,1.07,10,0.8,Mangalore
Laterite,26.45288458,55.32222678,7.235070264,144.6861336,Coffee,11.11,19.38,537.08,16,240.58,5.98,0.98,10,0.7,Mangalore
Laterite,25.70822684,52.88667115,7.18915558,136.7325092,Coffee,10.95,18.11,385.04,40,209.2,7.05,0.87,20,0.5,Mangalore
Laterite,24.12832546,56.18107663,6.431899748,147.2757818,Coffee,11.27,18.44,525.16,13,230.12,7.24,0.68,30,0.5,Mangalore
Laterite,23.44372334,60.39523266,6.42321105,122.2103248,Coffee,10.89,20.32,124.02,16,198.74,6.71,0.5,26,0.7,Mangalore
Laterite,23.4123707,52.26994674,6.869720196,139.3670753,Coffee,10.41,19.0,366.46,23,198.74,7.1,0.61,93,0.9,Mangalore
Laterite,23.05951896,50.40609436,6.973839707,164.4971875,Coffee,1.401,14.92,178.43,100,209.2,6.85,0.4,93,0.5,Mangalore
Laterite,23.07895447,63.65861483,7.184801627,129.8765443,Coffee,4.181,11.69,431.41,20,209.2,7.34,0.7,17,0.5,Mangalore
Laterite,27.6496114,51.11044023,6.351823783,122.8392822,Coffee,1.045,9.178,95.09,27,188.28,6.91,0.3,18,0.9,Mangalore
Laterite,25.46743689,69.35161206,6.392048018,171.3764462,Coffee,1.686,17.73,508.19,13,209.2,7.32,0.52,8,0.6,Mangalore
Laterite,26.7350622,55.55164819,6.119892347,140.6305213,Coffee,0.926,10.38,91.96,23,83.68,7.18,0.3,30,0.6,Mangalore
Laterite,26.20811417,52.50987966,6.910823945,189.0944824,Coffee,1.259,11.71,118.7,42,209.2,6.81,0.46,15,0.9,Mangalore
Laterite,27.0424167,57.27927475,6.501157208,165.6872119,Coffee,2.399,12.58,439.57,45,261.5,7.23,0.68,112,0.7,Mangalore
Laterite,24.65090184,51.93952357,7.027585559,135.1386537,Coffee,1.639,11.57,194.79,58,292.88,6.99,0.42,15,0.7,Mangalore
Laterite,27.35152643,55.99375012,7.13411409,148.9812525,Coffee,1.71,10.49,189.35,54,219.66,6.96,0.36,115,0.9,Mangalore
Laterite,25.17787724,62.26244581,6.647765997,135.0119649,Coffee,1.188,12.49,416.44,26,230.12,7.33,0.36,8,0.8,Mangalore
Laterite,23.11438731,68.00096043,6.703270635,161.8944624,Coffee,6.698,14.72,460.91,16,240.58,7.49,0.42,8,0.8,Mangalore
Laterite,27.22783677,52.95261751,7.493191968,175.7260273,Coffee,1.615,15.36,503.38,21,188.28,7.3,0.38,6,0.5,Mangalore
Laterite,30.01592643,53.19212381,5.074272692,97.72843182,mango,4.133,33.47,598.03,24,188.28,6.92,1.23,92,0.6,Mangalore
Laterite,31.74592134,45.16127859,5.667507706,93.75441586,mango,3.539,24.16,338.41,25,198.74,6.36,1.14,8,0.9,Mangalore
Laterite,35.99009679,52.22780489,5.978634285,95.3713484,mango,3.515,22.16,607.77,24,209.2,7.27,0.72,6,0.6,Mangalore
Laterite,31.86641378,52.19331595,5.064613314,98.46768642,mango,3.302,22.27,239.38,15,167.36,6.25,0.73,92,0.9,Mangalore
Laterite,27.75518664,52.34605806,4.772385986,94.11213345,mango,4.252,37.06,234.17,19,209.2,6.39,0.63,27,0.9,Mangalore
Laterite,34.72413192,51.4271781,5.161148592,97.31258083,mango,2.613,28.01,565.6,23,167.36,7.3,0.78,3,0.5,Mangalore
Laterite,27.53907547,53.63549533,6.797779227,99.35408185,mango,3.895,26.45,216.78,26,177.82,5.69,0.63,89,0.9,Mangalore
Laterite,27.69637763,48.5622488,6.39474303,89.85646496,mango,4.822,37.42,230.35,18,177.82,6.03,0.51,94,0.9,Mangalore
Laterite,27.25373364,52.66319725,5.566704378,91.87312479,mango,3.278,30.6,274.36,21,240.58,6.21,0.53,97,0.6,Mangalore
Laterite,30.33723921,48.88704844,5.755049971,94.42850522,mango,3.8,37.01,250.37,18,209.2,5.55,1.06,100,0.6,Mangalore
Laterite,31.85744939,45.53106268,5.417340525,91.55845821,mango,2.898,32.86,247.67,17,209.2,5.16,1.18,118,0.5,Mangalore
Laterite,35.39986338,49.45962621,6.166173834,97.41054011,mango,3.278,27.2,595.14,24,188.28,7.0,0.9,10,0.5,Mangalore
Laterite,29.80747243,52.13797867,5.191265116,95.74606104,mango,4.418,35.47,252.64,31,209.2,5.88,0.68,89,0.7,Mangalore
Laterite,34.16438906,54.16482251,4.954739564,98.33351125,mango,4.466,28.98,281.83,25,209.2,6.32,0.55,112,0.7,Mangalore
Laterite,28.93270187,47.94053996,5.664587011,99.9834242,mango,4.418,28.54,618.68,24,198.74,6.93,0.56,18,0.5,Mangalore
Laterite,27.98392787,53.33018851,5.548584852,99.61465679,mango,3.8,29.93,577.27,21,188.28,7.2,0.61,8,0.5,Mangalore
Laterite,31.20478173,54.49960506,6.804437106,94.62954663,mango,4.038,26.56,593.11,131,209.2,7.33,0.89,5,0.6,Mangalore
